timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1688256886389,411,/static,200,OK,Static 1-7,text,true,,720,163,27,260,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,411,utf-8,1,0,DESKTOP-JMD9GU4,0,209
1688256886350,459,/static,200,OK,Static 1-5,text,true,,720,163,28,265,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,459,utf-8,1,0,DESKTOP-JMD9GU4,0,250
1688256886290,519,/static,200,OK,Static 1-2,text,true,,720,163,28,265,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,519,utf-8,1,0,DESKTOP-JMD9GU4,0,312
1688256886369,451,/static,200,OK,Static 1-6,text,true,,720,163,28,265,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,451,utf-8,1,0,DESKTOP-JMD9GU4,0,237
1688256886329,491,/static,200,OK,Static 1-4,text,true,,720,163,28,265,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,491,utf-8,1,0,DESKTOP-JMD9GU4,0,276
1688256886309,511,/static,200,OK,Static 1-3,text,true,,720,163,28,267,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,511,utf-8,1,0,DESKTOP-JMD9GU4,0,296
1688256886271,565,/static,200,OK,Static 1-1,text,true,,720,163,29,276,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,565,utf-8,1,0,DESKTOP-JMD9GU4,0,340
1688256886409,427,/static,200,OK,Static 1-8,text,true,,720,163,29,276,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,427,utf-8,1,0,DESKTOP-JMD9GU4,0,211
1688256886429,414,/static,200,OK,Static 1-9,text,true,,720,163,29,279,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,414,utf-8,1,0,DESKTOP-JMD9GU4,0,205
1688256886449,405,/static,200,OK,Static 1-10,text,true,,720,163,30,286,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,405,utf-8,1,0,DESKTOP-JMD9GU4,0,200
1688256886489,397,/static,200,OK,Static 1-12,text,true,,720,163,31,298,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,397,utf-8,1,0,DESKTOP-JMD9GU4,0,195
1688256886469,424,/static,200,OK,Static 1-11,text,true,,720,163,32,301,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,424,utf-8,1,0,DESKTOP-JMD9GU4,0,211
1688256886509,415,/static,200,OK,Static 1-13,text,true,,720,163,33,316,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,415,utf-8,1,0,DESKTOP-JMD9GU4,0,205
1688256886529,404,/static,200,OK,Static 1-14,text,true,,720,163,34,320,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,404,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688256886549,398,/static,200,OK,Static 1-15,text,true,,720,163,34,327,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,398,utf-8,1,0,DESKTOP-JMD9GU4,0,198
1688256886569,425,/static,200,OK,Static 1-16,text,true,,720,163,37,351,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,425,utf-8,1,0,DESKTOP-JMD9GU4,0,210
1688256886589,405,/static,200,OK,Static 1-17,text,true,,720,163,37,351,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,405,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688256886609,399,/static,200,OK,Static 1-18,text,true,,720,163,37,356,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,399,utf-8,1,0,DESKTOP-JMD9GU4,0,200
1688256886629,429,/static,200,OK,Static 1-19,text,true,,720,163,40,382,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,429,utf-8,1,0,DESKTOP-JMD9GU4,0,212
1688256886648,414,/static,200,OK,Static 1-20,text,true,,720,163,40,384,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,414,utf-8,1,0,DESKTOP-JMD9GU4,0,205
1688256886689,398,/static,200,OK,Static 1-22,text,true,,720,163,41,395,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,398,utf-8,1,0,DESKTOP-JMD9GU4,0,198
1688256886669,425,/static,200,OK,Static 1-21,text,true,,720,163,42,400,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,425,utf-8,1,0,DESKTOP-JMD9GU4,0,212
1688256886709,410,/static,200,OK,Static 1-23,text,true,,720,163,43,413,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,410,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688256886735,422,/static,200,OK,Static 1-24,text,true,,720,163,45,431,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,422,utf-8,1,0,DESKTOP-JMD9GU4,0,209
1688256886750,425,/static,200,OK,Static 1-25,text,true,,720,163,46,440,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,425,utf-8,1,0,DESKTOP-JMD9GU4,0,211
1688256886770,410,/static,200,OK,Static 1-26,text,true,,720,163,46,442,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,410,utf-8,1,0,DESKTOP-JMD9GU4,0,204
1688256886788,399,/static,200,OK,Static 1-27,text,true,,720,163,46,445,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,399,utf-8,1,0,DESKTOP-JMD9GU4,0,198
1688256886809,397,/static,200,OK,Static 1-28,text,true,,720,163,47,449,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,397,utf-8,1,0,DESKTOP-JMD9GU4,0,198
1688256886848,404,/static,200,OK,Static 1-30,text,true,,720,163,50,458,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,404,utf-8,1,0,DESKTOP-JMD9GU4,0,198
1688256886870,400,/static,200,OK,Static 1-31,text,true,,720,163,50,460,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,400,utf-8,1,0,DESKTOP-JMD9GU4,0,198
1688256886843,431,/static,200,OK,Static 1-29,text,true,,720,163,50,461,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,431,utf-8,1,0,DESKTOP-JMD9GU4,0,212
1688256886909,406,/static,200,OK,Static 1-33,text,true,,720,163,50,466,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,406,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688256886889,427,/static,200,OK,Static 1-32,text,true,,720,163,50,465,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,427,utf-8,1,0,DESKTOP-JMD9GU4,0,213
1688256886929,398,/static,200,OK,Static 1-34,text,true,,720,163,50,466,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,398,utf-8,1,0,DESKTOP-JMD9GU4,0,197
1688256886949,427,/static,200,OK,Static 1-35,text,true,,720,163,50,471,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,427,utf-8,1,0,DESKTOP-JMD9GU4,0,212
1688256886969,415,/static,200,OK,Static 1-36,text,true,,720,163,50,472,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,415,utf-8,1,0,DESKTOP-JMD9GU4,0,205
1688256886988,405,/static,200,OK,Static 1-37,text,true,,720,163,50,474,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,405,utf-8,1,0,DESKTOP-JMD9GU4,0,200
1688256887009,416,/static,200,OK,Static 1-38,text,true,,720,163,50,476,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,416,utf-8,1,0,DESKTOP-JMD9GU4,0,205
1688256887029,406,/static,200,OK,Static 1-39,text,true,,720,163,50,476,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,406,utf-8,1,0,DESKTOP-JMD9GU4,0,202
1688256887049,404,/static,200,OK,Static 1-40,text,true,,720,163,50,476,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,404,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688256887069,406,/static,200,OK,Static 1-41,text,true,,720,163,50,475,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,406,utf-8,1,0,DESKTOP-JMD9GU4,0,202
1688256887088,404,/static,200,OK,Static 1-42,text,true,,720,163,50,475,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,404,utf-8,1,0,DESKTOP-JMD9GU4,0,198
1688256887110,398,/static,200,OK,Static 1-43,text,true,,720,163,50,475,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,398,utf-8,1,0,DESKTOP-JMD9GU4,0,198
1688256887130,405,/static,200,OK,Static 1-44,text,true,,720,163,50,474,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,405,utf-8,1,0,DESKTOP-JMD9GU4,0,200
1688256887170,401,/static,200,OK,Static 1-46,text,true,,720,163,50,474,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,401,utf-8,1,0,DESKTOP-JMD9GU4,0,199
1688256887149,424,/static,200,OK,Static 1-45,text,true,,720,163,50,474,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,424,utf-8,1,0,DESKTOP-JMD9GU4,0,211
1688256887190,403,/static,200,OK,Static 1-47,text,true,,720,163,50,473,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,403,utf-8,1,0,DESKTOP-JMD9GU4,0,201
1688256887209,399,/static,200,OK,Static 1-48,text,true,,720,163,50,473,http://microserviceLB-980459616.us-east-1.elb.amazonaws.com/static,,399,utf-8,1,0,DESKTOP-JMD9GU4,0,197
